"","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"JGRoberts",NA,NA,0.780318091451292,0.748129675810474,NA,NA,0.680555555555556,0.584415584415584,0.693805309734513,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,0.7,NA,0.59009900990099,NA,0.776507276507276,0.916666666666667,NA,0.641358641358641,NA,0.625909752547307,NA,NA,NA,NA,NA,NA,NA
"JHarlan2",0.477611940298507,0.476510067114094,NA,NA,0.581925055106539,0.747286821705426,NA,NA,NA,0.477284328739153,0.779518072289157,NA,NA,0.540540540540541,0.736979166666667,0.446222222222222,NA,NA,NA,NA,NA,0.675836030204962,NA,NA,NA,NA,0.630872483221476,NA,0.700934579439252,NA,0.648599269183922,0.529058116232465,NA,0.623188405797101,NA,0.514418604651163,0.39537983118614
"JPStevens",NA,NA,0.525114155251142,0.42339373970346,0.569932685115931,NA,0.40936018957346,0.698265895953757,NA,NA,NA,NA,NA,0.615076474872542,NA,NA,0.48,NA,NA,0.532614861032331,NA,0.61271676300578,0.747282608695652,NA,0.413223140495868,0.532563025210084,NA,0.717647058823529,NA,0.717647058823529,NA,0.628857381150959,NA,0.518367346938776,0.500134879956838,0.630634573304158,NA
"LFPowell",NA,NA,NA,0.666666666666667,0.681612505141917,NA,NA,NA,NA,NA,NA,NA,NA,0.642708766098878,NA,NA,NA,NA,0.532614861032331,NA,NA,0.699126930826058,NA,NA,NA,0.740540540540541,NA,NA,NA,NA,NA,0.50418410041841,NA,0.743095133713284,0.73311230832988,0.504564315352697,0.404371584699454
"NMGorsuch",NA,NA,0.674157303370786,NA,NA,NA,0.766666666666667,NA,0.574712643678161,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,0.488888888888889,NA,0.766666666666667,NA,NA,0.533333333333333,NA,0.477777777777778,NA,NA,NA,NA,NA,NA,NA
"PStewart",0.626168224299065,0.703125,NA,NA,0.673115410273516,0.765807962529274,NA,NA,NA,0.629156010230179,0.694835680751174,NA,NA,0.621160409556314,NA,0.551668460710441,NA,0.675836030204962,0.61271676300578,0.699126930826058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705407586763519,0.618595825426945,NA,0.654668753260303,0.648208469055375,0.631215866628342,0.521651964715317
"RBGinsburg",NA,NA,0.625599232981783,0.500798296966471,NA,NA,0.468615237182559,0.811866859623734,0.846830985915493,NA,NA,NA,NA,0.595744680851064,NA,NA,0.59009900990099,NA,0.747282608695652,NA,0.488888888888889,NA,NA,NA,0.486625514403292,0.620593692022263,NA,0.792194627470857,NA,0.823188405797101,NA,NA,NA,NA,0.59469696969697,NA,NA
"RHJackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704225352112676,0.72969696969697,0.495821727019499,0.683221476510067,NA,0.678657074340528,0.486682808716707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666265060240964,NA,0.675555555555556,NA,0.716707021791768,NA,0.430939226519337,NA,NA,NA,0.444148936170213
"SAAlito",NA,NA,0.711776859504132,0.701570680628272,NA,NA,0.722966014418126,0.501831501831502,0.558510638297872,NA,NA,NA,NA,NA,NA,NA,0.776507276507276,NA,0.413223140495868,NA,0.766666666666667,NA,0.486625514403292,NA,NA,NA,NA,0.54630593132154,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"SDOConnor",NA,NA,0.733519553072626,0.662721893491124,0.69209197980931,NA,0.663320463320463,0.672740014015417,NA,NA,NA,NA,NA,0.558337773042088,NA,NA,0.916666666666667,NA,0.532563025210084,0.740540540540541,NA,NA,0.620593692022263,NA,NA,NA,NA,0.672484599589322,NA,NA,NA,0.440156965336821,NA,0.768953068592058,0.77208480565371,0.456920903954802,NA
"SFReed",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689655172413793,0.573858549686661,0.592391304347826,0.811224489795918,NA,0.78202846975089,0.559352517985611,NA,0.630872483221476,NA,NA,NA,NA,NA,0.666265060240964,NA,NA,NA,NA,0.801470588235294,NA,0.775964391691395,NA,0.559681697612732,NA,NA,0.692307692307692,0.552986512524085
"SGBreyer",NA,NA,0.644997460639919,0.489216799091941,NA,NA,0.47258883248731,0.781274586939418,0.836879432624113,NA,NA,NA,NA,NA,NA,NA,0.641358641358641,NA,0.717647058823529,NA,0.533333333333333,NA,0.792194627470857,NA,0.54630593132154,0.672484599589322,NA,NA,NA,0.785401459854015,NA,NA,NA,NA,0.596842105263158,NA,NA
"SMinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739285714285714,0.61094674556213,NA,0.844559585492228,NA,0.79502196193265,0.577548005908419,NA,0.700934579439252,NA,NA,NA,NA,NA,0.675555555555556,NA,NA,0.801470588235294,NA,NA,NA,0.821428571428571,NA,NA,NA,NA,NA,0.540098199672668
"SSotomayor",NA,NA,0.662790697674419,0.481404958677686,NA,NA,0.447826086956522,NA,0.805704099821747,NA,NA,NA,NA,NA,NA,NA,0.625909752547307,NA,0.717647058823529,NA,0.477777777777778,NA,0.823188405797101,NA,0.5,NA,NA,0.785401459854015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCClark",0.669291338582677,0.609375,NA,NA,0.763684913217624,0.730829420970266,NA,NA,NA,0.726309921962096,0.649814126394052,NA,0.888252148997135,NA,0.784378437843784,0.620305980528512,NA,0.648599269183922,NA,NA,NA,0.705407586763519,NA,0.716707021791768,NA,NA,0.775964391691395,NA,0.821428571428571,NA,NA,NA,NA,NA,NA,0.707652060170046,0.55719031798766
"TMarshall",0.831578947368421,NA,0.454166666666667,0.393055555555556,0.578532608695652,NA,NA,0.539823008849557,NA,0.860082304526749,NA,NA,NA,0.639538414819314,NA,0.516966067864271,NA,0.529058116232465,0.628857381150959,0.50418410041841,NA,0.618595825426945,NA,NA,NA,0.440156965336821,NA,NA,NA,NA,NA,NA,NA,0.463181148748159,0.412873862158648,0.872376630743052,0.695804195804196
"WBRutledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43717277486911,0.788203753351206,0.523936170212766,NA,0.507853403141361,0.746031746031746,NA,NA,NA,NA,NA,NA,NA,0.430939226519337,NA,NA,0.559681697612732,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663978494623656
"WEBurger",NA,NA,NA,NA,0.70431654676259,NA,NA,NA,NA,NA,NA,NA,NA,0.68140243902439,NA,0.564748201438849,NA,0.623188405797101,0.518367346938776,0.743095133713284,NA,0.654668753260303,NA,NA,NA,0.768953068592058,NA,NA,NA,NA,NA,0.463181148748159,NA,NA,0.79692051602164,0.46044992743106,0.368137782561894
"WHRehnquist",NA,NA,0.790776152980877,0.73859126984127,0.714285714285714,NA,0.743328100470958,0.624466571834993,NA,NA,NA,NA,NA,0.588441330998249,NA,NA,NA,NA,0.500134879956838,0.73311230832988,NA,0.648208469055375,0.59469696969697,NA,NA,0.77208480565371,NA,0.596842105263158,NA,NA,NA,0.412873862158648,NA,0.79692051602164,NA,0.416301785112833,0.327556325823224
"WJBrennan",0.805243445692884,0.828125,0.463483146067416,0.397976391231029,0.625818099751749,0.594135802469136,NA,NA,NA,0.876483279395901,0.58970792767733,NA,NA,0.629234629861982,0.604477611940298,0.676292501164415,NA,0.514418604651163,0.630634573304158,0.504564315352697,NA,0.631215866628342,NA,NA,NA,0.456920903954802,0.692307692307692,NA,NA,NA,0.707652060170046,0.872376630743052,NA,0.46044992743106,0.416301785112833,NA,0.719899964272955
"WODouglas",0.723684210526316,0.708520179372197,NA,NA,0.545363908275174,0.458333333333333,NA,NA,NA,0.74577861163227,0.448176027793862,0.731506849315068,0.55148095909732,0.4,0.517160686427457,0.716017868538609,NA,0.39537983118614,NA,0.404371584699454,NA,0.521651964715317,NA,0.444148936170213,NA,NA,0.552986512524085,NA,0.540098199672668,NA,0.55719031798766,0.695804195804196,0.663978494623656,0.368137782561894,0.327556325823224,0.719899964272955,NA
