"JusticeName","HHBurton","RHJackson","WODouglas","FFrankfurter","SFReed","HLBlack","WBRutledge","FMurphy","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"EWarren",0.628623188405797,0.704225352112676,0.74577861163227,0.545545545545546,0.689655172413793,0.755524212505877,NA,NA,NA,0.726309921962096,0.739285714285714,NA,0.477284328739153,0.876483279395901,0.559748427672956,0.629156010230179,0.742296918767507,0.827354260089686,0.820415879017013,0.860082304526749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JHarlan2",0.736979166666667,NA,0.39537983118614,0.779518072289157,0.630872483221476,0.446222222222222,NA,NA,NA,0.648599269183922,0.700934579439252,0.477284328739153,NA,0.514418604651163,0.747286821705426,0.675836030204962,0.581925055106539,0.476510067114094,0.477611940298507,0.529058116232465,0.623188405797101,0.540540540540541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WJBrennan",0.604477611940298,NA,0.719899964272955,0.58970792767733,0.692307692307692,0.676292501164415,NA,NA,NA,0.707652060170046,NA,0.876483279395901,0.514418604651163,NA,0.594135802469136,0.63139735480161,0.625649130729284,0.828125,0.805243445692884,0.872304199772985,0.460058097312999,0.629001883239171,0.504152823920266,0.415908324907314,0.630310994305738,0.456920903954802,0.397976391231029,0.463483146067416,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEWhittaker",0.786802030456853,NA,0.458333333333333,0.718110236220472,NA,0.50625,NA,NA,NA,0.730829420970266,NA,0.559748427672956,0.747286821705426,0.594135802469136,NA,0.765807962529274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PStewart",NA,NA,0.521651964715317,0.694835680751174,NA,0.551668460710441,NA,NA,NA,0.705407586763519,NA,0.629156010230179,0.675836030204962,0.63139735480161,0.765807962529274,NA,0.67334000667334,0.703125,0.626168224299065,0.618889416231609,0.655010438413361,0.621513944223108,0.699596774193548,0.648631029986962,0.613425925925926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRWhite",NA,NA,0.545363908275174,NA,NA,0.633699633699634,NA,NA,NA,0.763684913217624,NA,0.742296918767507,0.581925055106539,0.625649130729284,NA,0.67334000667334,NA,0.704128440366973,0.672348484848485,0.578303425774878,0.704103671706264,0.646351691361476,0.681350349938246,0.714030384271671,0.569449644327967,0.691919191919192,0.649269311064718,0.707927677329624,0.735042735042735,0.622119815668203,NA,NA,NA,NA,NA,NA,NA
"AJGoldberg",NA,NA,0.708520179372197,NA,NA,0.691111111111111,NA,NA,NA,0.609375,NA,0.827354260089686,0.476510067114094,0.828125,NA,0.703125,0.704128440366973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFortas",NA,NA,0.723684210526316,NA,NA,0.592105263157895,NA,NA,NA,0.669291338582677,NA,0.820415879017013,0.477611940298507,0.805243445692884,NA,0.626168224299065,0.672348484848485,NA,NA,0.831578947368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMarshall",NA,NA,0.695804195804196,NA,NA,0.516966067864271,NA,NA,NA,NA,NA,0.860082304526749,0.529058116232465,0.872304199772985,NA,0.618889416231609,0.578303425774878,NA,0.831578947368421,NA,0.462785556374355,0.6393193558189,0.503768844221106,0.41249186727391,0.628547579298831,0.440156965336821,0.393055555555556,0.454166666666667,0.539823008849557,NA,NA,NA,NA,NA,NA,NA,NA
"WEBurger",NA,NA,0.368137782561894,NA,NA,0.564748201438849,NA,NA,NA,NA,NA,NA,0.623188405797101,0.460058097312999,NA,0.655010438413361,0.704103671706264,NA,NA,0.462785556374355,NA,0.681159420289855,0.742869679684072,0.796751353602666,0.517805020431991,0.768953068592058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HABlackmun",NA,NA,0.4,NA,NA,0.589403973509934,NA,NA,NA,NA,NA,NA,0.540540540540541,0.629001883239171,NA,0.621513944223108,0.646351691361476,NA,NA,0.6393193558189,0.681159420289855,NA,0.642411642411642,0.588080631025416,0.614655486693401,0.558102345415778,0.44349477682811,0.522699386503067,0.609865470852018,0.416666666666667,0.595744680851064,NA,NA,NA,NA,NA,NA
"LFPowell",NA,NA,0.404371584699454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504152823920266,NA,0.699596774193548,0.681350349938246,NA,NA,0.503768844221106,0.742869679684072,0.642411642411642,NA,0.732890916632103,0.532084043157297,0.740540540540541,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHRehnquist",NA,NA,0.327556325823224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.415908324907314,NA,0.648631029986962,0.714030384271671,NA,NA,0.41249186727391,0.796751353602666,0.588080631025416,0.732890916632103,NA,0.49932450689003,0.771842943049169,0.738071570576541,0.790304396843292,0.62339514978602,0.74251968503937,0.593542260208927,0.595564941921858,NA,NA,NA,NA,NA
"JPStevens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630310994305738,NA,0.613425925925926,0.569449644327967,NA,NA,0.628547579298831,0.517805020431991,0.614655486693401,0.532084043157297,0.49932450689003,NA,0.532071503680337,0.421965317919075,0.523809523809524,0.697391304347826,0.407253269916766,0.74642126789366,0.71660516605166,0.477386934673367,0.409972299168975,0.714285714285714,NA,NA
"SDOConnor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456920903954802,NA,NA,0.691919191919192,NA,NA,0.440156965336821,0.768953068592058,0.558102345415778,0.740540540540541,0.771842943049169,0.532071503680337,NA,0.662222222222222,0.733072188024622,0.672050561797753,0.662538699690402,0.619888475836431,0.671810699588477,0.916666666666667,NA,NA,NA,NA
