"","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"JPStevens",NA,NA,0.65662100456621,0.576194398682043,0.676514584891548,NA,0.549763033175355,0.789595375722543,NA,NA,NA,NA,NA,0.728696285506191,NA,NA,0.6175,NA,NA,0.682926829268293,NA,0.729479768786127,0.826086956521739,NA,0.567493112947658,0.654761904761905,NA,0.804411764705882,NA,0.835294117647059,NA,0.713928273561301,NA,0.658892128279883,0.606959805772862,0.729978118161926,NA
"LFPowell",NA,NA,NA,0.775641025641026,0.800493624023036,NA,NA,NA,NA,NA,NA,NA,NA,0.779808890735355,NA,NA,NA,NA,0.682926829268293,NA,NA,0.817998656816656,NA,NA,NA,0.844324324324324,NA,NA,NA,NA,NA,0.622594142259414,NA,0.860149057430951,0.812681309573145,0.625726141078838,0.53551912568306
"NMGorsuch",NA,NA,0.853932584269663,NA,NA,NA,0.844444444444444,NA,0.64367816091954,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,NA,NA,NA,NA,0.6,NA,0.844444444444444,NA,NA,0.622222222222222,NA,0.555555555555556,NA,NA,NA,NA,NA,NA,NA
"PStewart",0.719626168224299,0.772321428571429,NA,NA,0.760173448965977,0.819672131147541,NA,NA,NA,0.711636828644501,0.791079812206573,NA,NA,0.750853242320819,NA,0.665231431646932,NA,0.767529665587918,0.729479768786127,0.817998656816656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76271186440678,0.705882352941177,NA,0.776734480959833,0.747882736156352,0.716585225639552,0.629911788291901
"RBGinsburg",NA,NA,0.7392138063279,0.646620542841937,NA,NA,0.620987062769526,0.882778581765557,0.901408450704225,NA,NA,NA,NA,0.712765957446808,NA,NA,0.685148514851485,NA,0.826086956521739,NA,0.6,NA,NA,NA,0.62962962962963,0.743970315398887,NA,0.8590978205778,NA,0.88695652173913,NA,NA,NA,NA,0.696022727272727,NA,NA
"RHJackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746478873239437,0.779393939393939,0.582172701949861,0.738255033557047,NA,0.726618705035971,0.559322033898305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72289156626506,NA,0.713333333333333,NA,0.779661016949153,NA,0.566298342541437,NA,NA,NA,0.527925531914894
"SAAlito",NA,NA,0.825413223140496,0.841623036649215,NA,NA,0.857878475798146,0.604395604395604,0.668439716312057,NA,NA,NA,NA,NA,NA,NA,0.872141372141372,NA,0.567493112947658,NA,0.844444444444444,NA,0.62962962962963,NA,NA,NA,NA,0.669094693028096,NA,0.635964912280702,NA,NA,NA,NA,NA,NA,NA
"SDOConnor",NA,NA,0.850279329608939,0.812623274161736,0.793045429052159,NA,0.801544401544402,0.784863349684653,NA,NA,NA,NA,NA,0.683537559936068,NA,NA,0.916666666666667,NA,0.654761904761905,0.844324324324324,NA,NA,0.743970315398887,NA,NA,NA,NA,0.790554414784394,NA,NA,NA,0.544800523217789,NA,0.870036101083033,0.853710247349823,0.574152542372881,NA
"SFReed",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699059561128527,0.6544315129812,0.627717391304348,0.82015306122449,NA,0.799822064056939,0.595323741007194,NA,0.671140939597315,NA,NA,NA,NA,NA,0.72289156626506,NA,NA,NA,NA,0.810294117647059,NA,0.808605341246291,NA,0.652519893899204,NA,NA,0.692307692307692,0.591522157996146
"SGBreyer",NA,NA,0.758252920264093,0.639614074914869,NA,NA,0.624873096446701,0.851298190401259,0.895390070921986,NA,NA,NA,NA,NA,NA,NA,0.728271728271728,NA,0.804411764705882,NA,0.622222222222222,NA,0.8590978205778,NA,0.669094693028096,0.790554414784394,NA,NA,NA,0.85985401459854,NA,NA,NA,NA,0.70421052631579,NA,NA
"SMinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739285714285714,0.662721893491124,NA,0.841968911917098,NA,0.79502196193265,0.605612998522895,NA,0.719626168224299,NA,NA,NA,NA,NA,0.713333333333333,NA,NA,0.810294117647059,NA,NA,NA,0.829545454545455,NA,NA,NA,NA,NA,0.55810147299509
"SSotomayor",NA,NA,0.758720930232558,0.659090909090909,NA,NA,0.618840579710145,NA,0.887700534759358,NA,NA,NA,NA,NA,NA,NA,0.717612809315866,NA,0.835294117647059,NA,0.555555555555556,NA,0.88695652173913,NA,0.635964912280702,NA,NA,0.85985401459854,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCClark",0.724409448818898,0.71875,NA,NA,0.807743658210948,0.757433489827856,NA,NA,NA,0.764771460423634,0.712267657992565,NA,0.902578796561605,NA,0.806380638063806,0.678720445062587,NA,0.727161997563946,NA,NA,NA,0.76271186440678,NA,0.779661016949153,NA,NA,0.808605341246291,NA,0.829545454545455,NA,NA,NA,NA,NA,NA,0.764551994767822,0.62078785002373
"TMarshall",0.905263157894737,NA,0.554166666666667,0.529166666666667,0.66304347826087,NA,NA,0.592920353982301,NA,0.925925925925926,NA,NA,NA,0.712420285453993,NA,0.662674650698603,NA,0.675350701402806,0.713928273561301,0.622594142259414,NA,0.705882352941177,NA,NA,NA,0.544800523217789,NA,NA,NA,NA,NA,NA,NA,0.577319587628866,0.495448634590377,0.903006239364719,0.786713286713287
"WBRutledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.581151832460733,0.857908847184987,0.625,NA,0.617801047120419,0.841269841269841,NA,NA,NA,NA,NA,NA,NA,0.566298342541437,NA,NA,0.652519893899204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771505376344086
"WEBurger",NA,NA,NA,NA,0.805755395683453,NA,NA,NA,NA,NA,NA,NA,NA,0.802210365853659,NA,0.679856115107914,NA,0.789855072463768,0.658892128279883,0.860149057430951,NA,0.776734480959833,NA,NA,NA,0.870036101083033,NA,NA,NA,NA,NA,0.577319587628866,NA,NA,0.861423220973783,0.579462989840348,0.484391819160388
"WHRehnquist",NA,NA,0.869516310461192,0.862103174603175,0.783035714285714,NA,0.861067503924647,0.726173541963016,NA,NA,NA,NA,NA,0.690309398715703,NA,NA,NA,NA,0.606959805772862,0.812681309573145,NA,0.747882736156352,0.696022727272727,NA,NA,0.853710247349823,NA,0.70421052631579,NA,NA,NA,0.495448634590377,NA,0.861423220973783,NA,0.507241495453014,0.426343154246101
"WJBrennan",0.880149812734082,0.904017857142857,0.581460674157303,0.549747048903879,0.710449108553374,0.652777777777778,NA,NA,NA,0.911542610571737,0.670375521557719,NA,NA,0.713927227101631,0.664179104477612,0.768979972054029,NA,0.643720930232558,0.729978118161926,0.625726141078838,NA,0.716585225639552,NA,NA,NA,0.574152542372881,0.692307692307692,NA,NA,NA,0.764551994767822,0.903006239364719,NA,0.579462989840348,0.507241495453014,NA,0.795641300464452
"WODouglas",0.81203007518797,0.809417040358744,NA,NA,0.636091724825523,0.515432098765432,NA,NA,NA,0.807223264540338,0.540243196294152,0.783561643835616,0.582510578279267,0.524528301886792,0.559282371294852,0.772495213784301,NA,0.512661039537983,NA,0.53551912568306,NA,0.629911788291901,NA,0.527925531914894,NA,NA,0.591522157996146,NA,0.55810147299509,NA,0.62078785002373,0.786713286713287,0.771505376344086,0.484391819160388,0.426343154246101,0.795641300464452,NA
