"","caseId","AFortas","AJGoldberg","AMKennedy","AScalia","BRWhite","CEWhittaker","CThomas","DHSouter","EKagan","EWarren","FFrankfurter","FMurphy","FMVinson","HABlackmun","HHBurton","HLBlack","JGRoberts","JHarlan2","JPStevens","LFPowell","NMGorsuch","PStewart","RBGinsburg","RHJackson","SAAlito","SDOConnor","SFReed","SGBreyer","SMinton","SSotomayor","TCClark","TMarshall","WBRutledge","WEBurger","WHRehnquist","WJBrennan","WODouglas"
"27","1946-027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"28","1946-028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1
"29","1946-029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1
"30","1946-030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"31","1946-031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1
"32","1946-032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"33","1946-033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"34","1946-034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"35","1946-035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"36","1946-036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"37","1946-037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"38","1946-038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"39","1946-039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"40","1946-040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"41","1946-041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"42","1946-042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"43","1946-043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"44","1946-044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"45","1946-045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"46","1946-046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"47","1946-047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"48","1946-048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"49","1946-049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"50","1946-050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"51","1946-051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"52","1946-052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"53","1946-053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"54","1946-054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"55","1946-055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"56","1946-056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"57","1946-057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"58","1946-058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"59","1946-059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"60","1946-060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"61","1946-061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"62","1946-062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"63","1946-063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"64","1946-064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"65","1946-065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"66","1946-066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"67","1946-067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"68","1946-068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"69","1946-069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"70","1946-070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2
"71","1946-071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"72","1946-072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2
"73","1946-073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"74","1946-074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1
"75","1946-075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1
"76","1946-076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,1
"77","1946-077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4
"78","1946-078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1
"79","1946-079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
