"","case_id","HHBurton","RHJackson","WODouglas","FFrankfurter","SFReed","HLBlack","WBRutledge","FMurphy","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"1860","1961-062",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1861","1961-063",NA,NA,3,NA,NA,4,NA,NA,NA,1,NA,3,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1862","1961-064",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1863","1961-065",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1864","1961-066",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1865","1961-067",NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,2,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1866","1961-068",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1867","1961-069",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1868","1961-070",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1869","1961-071",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1870","1961-072",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1871","1961-073",NA,NA,1,NA,NA,1,NA,NA,NA,4,NA,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1872","1961-074",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1873","1961-075",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1874","1961-076",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1875","1961-077",NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1876","1961-078",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1877","1961-080",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878","1961-081",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1879","1961-082",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1880","1961-083",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1881","1961-084",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1882","1961-085",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,7,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1883","1961-086",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884","1961-087",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1885","1961-088",NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1886","1961-089",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1887","1961-090",NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,4,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1888","1961-091",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,7,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1889","1961-092",NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890","1961-093",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1891","1961-094",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1892","1961-095",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893","1961-096",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1894","1961-097",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1895","1961-098",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1896","1961-099",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1897","1961-100",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1898","1961-101",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1899","1961-102",NA,NA,1,NA,NA,1,NA,NA,NA,4,NA,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900","1961-103",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1901","1961-104",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,3,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1902","1961-105",NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1903","1961-106",NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1904","1961-107",NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1905","1961-108",NA,NA,4,NA,NA,4,NA,NA,NA,2,NA,4,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1906","1961-109",NA,NA,2,NA,NA,2,NA,NA,NA,4,NA,4,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1907","1961-110",NA,NA,4,NA,NA,3,NA,NA,NA,1,NA,4,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1908","1961-111",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1909","1961-112",NA,NA,1,NA,NA,2,NA,NA,NA,2,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1910","1961-113",NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,1,4,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1911","1961-114",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1912","1961-115",NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,1,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1913","1961-116",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914","1961-117",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1915","1961-118",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1916","1961-119",NA,NA,3,NA,NA,3,NA,NA,NA,1,NA,1,1,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1917","1961-120",NA,NA,8,NA,NA,8,NA,NA,NA,8,NA,8,8,8,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1918","1962-001",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1919","1962-002",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1920","1962-003",NA,NA,7,NA,NA,7,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1921","1962-004",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1922","1962-005",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1923","1962-006",NA,NA,3,NA,NA,7,NA,NA,NA,2,NA,1,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1924","1962-007",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1925","1962-008",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1926","1962-009",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1927","1962-010",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1928","1962-011",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,1,4,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1929","1962-012",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1930","1962-013",NA,NA,4,NA,NA,1,NA,NA,NA,4,NA,1,1,4,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931","1962-014",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932","1962-015",NA,NA,3,NA,NA,2,NA,NA,NA,4,NA,3,1,3,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933","1962-016",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,4,1,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1934","1962-017",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1935","1962-018",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936","1962-019",NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1937","1962-020",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1938","1962-021",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939","1962-022",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1940","1962-023",NA,NA,1,NA,NA,4,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1941","1962-024",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1942","1962-025",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943","1962-026",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944","1962-027",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945","1962-028",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946","1962-029",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947","1962-030",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,2,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948","1962-031",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,2,1,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949","1962-032",NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950","1962-033",NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951","1962-034",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952","1962-035",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,1,4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953","1962-036",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954","1962-037",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955","1962-038",NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956","1962-039",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957","1962-040",NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958","1962-041",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959","1962-042",NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1960","1962-043",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961","1962-044",NA,NA,2,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962","1962-045",NA,NA,3,NA,NA,1,NA,NA,NA,4,NA,1,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963","1962-046",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964","1962-047",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1965","1962-048",NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,1,2,1,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966","1962-049",NA,NA,3,NA,NA,3,NA,NA,NA,2,NA,1,2,3,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967","1962-050",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968","1962-051",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969","1962-052",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970","1962-053",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,7,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971","1962-054",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,4,1,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972","1962-055",NA,NA,1,NA,NA,2,NA,NA,NA,2,NA,2,1,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973","1962-056",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974","1962-057",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975","1962-058",NA,NA,3,NA,NA,1,NA,NA,NA,4,NA,1,4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976","1962-059",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977","1962-060",NA,NA,1,NA,NA,1,NA,NA,NA,3,NA,1,2,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978","1962-061",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979","1962-062",NA,NA,1,NA,NA,1,NA,NA,NA,4,NA,1,4,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980","1962-063",NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,2,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981","1962-064",NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
